ตำบล,เทศบาล,ปีงบประมาณ,ประเภทงบ,หมวดหมู่,รายการบัญชี,หมายเหตุ,มูลค่า,หน่วย,ระดับรายละเอียด,หมายเหตุคุณภาพข้อมูล,ไฟล์ต้นฉบับ
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,เงินสดและรายการเทียบเท่าเงินสด,4,266235855.98,บาท,line_item,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,ลูกหนี้การค้า,5,942383.0,บาท,line_item,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,ลูกหนี้เงินโอนและรายการอุดหนุนระยะสั้น,6,700656.45,บาท,line_item,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,ลูกหนี้อื่นระยะสั้น,7,617855.66,บาท,line_item,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,วัสดุคงเหลือ,8,1366752.82,บาท,line_item,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,รวมสินทรัพย์หมุนเวียน,,269863503.91,บาท,subtotal,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงฐานะการเงิน,สินทรัพย์ไม่หมุนเวียน,เงินลงทุนระยะยาว,9,39743888.14,บาท,line_item,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงฐานะการเงิน,สินทรัพย์ไม่หมุนเวียน,ที่ดิน อาคาร และอุปกรณ์ - สุทธิ,10,73947407.1,บาท,line_item,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงฐานะการเงิน,สินทรัพย์ไม่หมุนเวียน,สินทรัพย์โครงสร้างพื้นฐาน - สุทธิ,11,148895793.7,บาท,line_item,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงฐานะการเงิน,สินทรัพย์ไม่หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,,262587088.94,บาท,subtotal,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงฐานะการเงิน,สินทรัพย์รวม,รวมสินทรัพย์,,532450592.85,บาท,total,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงฐานะการเงิน,หนี้สินหมุนเวียน,เจ้าหนี้การค้า,12,407495.76,บาท,line_item,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงฐานะการเงิน,หนี้สินหมุนเวียน,เจ้าหนี้เงินโอนและรายการอุดหนุนระยะสั้น,13,0.0,บาท,line_item,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงฐานะการเงิน,หนี้สินหมุนเวียน,เจ้าหนี้อื่นระยะสั้น,14,1183349.24,บาท,line_item,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงฐานะการเงิน,หนี้สินหมุนเวียน,เงินรับฝากระยะสั้น,15,555714.35,บาท,line_item,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงฐานะการเงิน,หนี้สินหมุนเวียน,หนี้สินหมุนเวียนอื่น,16,150.0,บาท,line_item,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงฐานะการเงิน,หนี้สินหมุนเวียน,รวมหนี้สินหมุนเวียน,,2146709.35,บาท,subtotal,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงฐานะการเงิน,หนี้สินไม่หมุนเวียน,เงินรับฝากระยะยาว,17,95450.0,บาท,line_item,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงฐานะการเงิน,หนี้สินไม่หมุนเวียน,รวมหนี้สินไม่หมุนเวียน,,95450.0,บาท,subtotal,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงฐานะการเงิน,หนี้สินรวม,รวมหนี้สิน,,2242159.35,บาท,total,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงฐานะการเงิน,สินทรัพย์สุทธิ_ส่วนทุน,รายได้สูง/(ต่ำ) กว่าค่าใช้จ่ายสะสม,20,530208433.5,บาท,line_item,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงฐานะการเงิน,สินทรัพย์สุทธิ_ส่วนทุน,รวมสินทรัพย์สุทธิ/ส่วนทุน,,530208433.5,บาท,subtotal,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงฐานะการเงิน,หนี้สินและส่วนทุนรวม,รวมหนี้สินและสินทรัพย์สุทธิ/ส่วนทุน,,532450592.85,บาท,total,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงผลการดำเนินงาน,รายได้,รายได้ภาษีจัดสรร,21,73618565.7,บาท,line_item,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงผลการดำเนินงาน,รายได้,รายได้จากการขายสินค้าและบริการ,22,9000.0,บาท,line_item,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงผลการดำเนินงาน,รายได้,รายได้จากการอุดหนุนจากหน่วยงานภาครัฐ,23,75218086.42,บาท,line_item,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงผลการดำเนินงาน,รายได้,รายได้จากการจัดเก็บภาษี ค่าธรรมเนียม ค่าปรับ และใบอนุญาต,24,39935569.53,บาท,line_item,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงผลการดำเนินงาน,รายได้,รายได้จากการอุดหนุนอื่นและบริจาค,25,203520.0,บาท,line_item,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงผลการดำเนินงาน,รายได้,รายได้ของกิจการเฉพาะการและหน่วยงานภายใต้สังกัด,26,29739.59,บาท,line_item,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงผลการดำเนินงาน,รายได้,รายได้อื่น,27,2477563.16,บาท,line_item,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงผลการดำเนินงาน,รายได้รวม,รวมรายได้,,191492044.4,บาท,total,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าใช้จ่ายบุคลากร,28,53980929.0,บาท,line_item,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าบำเหน็จบำนาญ,29,40656.0,บาท,line_item,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าตอบแทน,30,1351700.0,บาท,line_item,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าใช้สอย,31,11849848.58,บาท,line_item,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าวัสดุ,32,5308244.92,บาท,line_item,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าสาธารณูปโภค,33,1295140.48,บาท,line_item,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าเสื่อมราคาและค่าตัดจำหน่าย,34,18871790.44,บาท,line_item,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าใช้จ่ายจากการอุดหนุนจากหน่วยงานภาครัฐ,35,8646314.93,บาท,line_item,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าใช้จ่ายจากการอุดหนุนอื่นและบริจาค,36,42589052.12,บาท,line_item,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าใช้จ่ายอื่น,37,1412406.99,บาท,line_item,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงผลการดำเนินงาน,ค่าใช้จ่ายรวม,รวมค่าใช้จ่าย,,145346083.46,บาท,total,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2567,งบแสดงผลการดำเนินงาน,สรุปผล,รายได้สูง/(ต่ำ) กว่าค่าใช้จ่ายสุทธิ,,46145960.94,บาท,total,,financial_report_thachang_2567.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,เงินสดและรายการเทียบเท่าเงินสด,4,292678726.28,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,ลูกหนี้การค้า,5,1034418.0,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,ลูกหนี้เงินโอนและรายการอุดหนุนระยะสั้น,6,1306735.04,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,ลูกหนี้อื่นระยะสั้น,7,551103.63,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,วัสดุคงเหลือ,8,1232094.69,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,รวมสินทรัพย์หมุนเวียน,,296803077.64,บาท,subtotal,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงฐานะการเงิน,สินทรัพย์ไม่หมุนเวียน,เงินลงทุนระยะยาว,9,42572543.5,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงฐานะการเงิน,สินทรัพย์ไม่หมุนเวียน,ที่ดิน อาคาร และอุปกรณ์ - สุทธิ,10,78744435.64,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงฐานะการเงิน,สินทรัพย์ไม่หมุนเวียน,สินทรัพย์โครงสร้างพื้นฐาน - สุทธิ,11,176484985.25,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงฐานะการเงิน,สินทรัพย์ไม่หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,,297801964.39,บาท,subtotal,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงฐานะการเงิน,สินทรัพย์รวม,รวมสินทรัพย์,,594605042.03,บาท,total,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงฐานะการเงิน,หนี้สินหมุนเวียน,เจ้าหนี้การค้า,12,5155645.35,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงฐานะการเงิน,หนี้สินหมุนเวียน,เจ้าหนี้อื่นระยะสั้น,13,1093341.7,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงฐานะการเงิน,หนี้สินหมุนเวียน,เงินรับฝากระยะสั้น,14,471508.27,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงฐานะการเงิน,หนี้สินหมุนเวียน,หนี้สินหมุนเวียนอื่น,15,0.0,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงฐานะการเงิน,หนี้สินหมุนเวียน,รวมหนี้สินหมุนเวียน,,6720495.32,บาท,subtotal,,financial_report_thachang_2568.csv
